objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,redshift,class
1239531008297352627,68.42449418869997,60.34597920659046,16.854580719085575,13.881972789677718,15.74662962731101,18.874088913222376,16.720793410140807,1059,301,2,145,9.41893404281237e+18,1.5851603042159443,STAR
1239573843667883278,101.851541296344,56.350783555477996,17.961431193707188,19.60177468589954,23.351224508725362,11.127978327421099,20.662322763111263,405,301,2,268,7.392733563088969e+18,2.2727554625528015,STAR
1230473600017247252,35.983689597558374,44.55293608560215,19.217288936347575,14.890893262454219,22.81996194982887,14.524441497392976,18.593122390198786,881,301,2,602,3.0399236226712463e+18,2.084171970955352,GALAXY
1238603998287386058,252.71858810791812,-0.078732218572107,16.409577503934567,16.579623241172,18.75322273101607,14.595008873673821,19.97560832769247,501,301,2,125,2.1222265721903094e+18,2.0323327213183697,GALAXY
1239759691023510375,152.62719587781388,10.225539068011766,18.897446335597323,19.586887987656496,21.16572747808569,12.038530562860736,13.927689325498294,1094,301,2,124,6.325139235865866e+17,3.0814326700139283,GALAXY
1231194720963371138,40.20707238439365,57.733396485448544,16.333575516704443,15.149769492543685,24.532366093109378,18.737221725302582,13.847161381166563,1153,301,5,375,4.1361080080473626e+18,3.6006587451208945,GALAXY
1231414612145732916,96.90711433500826,3.904133704089445,16.7935914209379,14.865014990207644,17.876590719057017,26.39384349021467,15.567439229774786,621,301,2,340,4.5234571075014113e+18,2.12657014855786,STAR
1233381005651339607,145.8538641924053,6.3830430304854655,15.560788583179084,13.299245123146207,18.424663370713514,11.068517081086275,11.224170429399493,1219,301,3,114,1.0362602001941032e+18,4.3141896717762585,STAR
1237588743091649949,142.28718043349915,34.712242634153014,13.165108414720823,19.50642851652612,21.39644877825961,21.683049334108368,20.968449605872305,589,301,1,555,8.258025747133302e+18,3.144067431001669,GALAXY
1237840776334805377,16.946848917095352,15.01495309622709,16.428025866790932,18.405958226769908,17.023545288533352,25.948656203396,15.439623843675498,455,301,3,157,6.263464677704711e+18,1.4508986170344034,STAR
1233400514553353147,247.61194062573605,11.211526095906853,19.81958584212945,13.768087912175137,24.495986420849324,12.827858744538474,11.810643651279918,670,301,4,668,3.783510536211525e+18,1.985469370582838,STAR
1239800821643758905,77.39467173168605,37.03438052491718,18.297487965858274,14.661395421986654,12.525665008523365,26.593390813174047,21.466585582418062,609,301,1,633,8.140820765426363e+18,5.1557293881718165,GALAXY
1236315685014608124,12.07853657083658,22.19809738143612,17.97998787802749,19.31929422465561,17.24391264528347,24.91486793890098,22.613916832299292,1407,301,3,385,4.0772466720442445e+18,3.222182833548164,GALAXY
1235615115787791192,27.263890255471182,5.260872464185818,17.146470421837037,16.2982367664626,21.28006387152211,14.64771286353579,18.759014454398553,644,301,2,639,8.076796704355814e+18,2.6769262618757614,GALAXY
1233938659063013850,154.2091156184902,34.044325030818904,14.783269387897956,16.45067429284704,17.58194813568034,26.390840785100703,15.279059307755487,1202,301,2,747,4.844567466945487e+18,1.3188827773534393,STAR
